Code,Name,County,PreK Region,Total Served by All Programs (unduplicated) 3s & 4s,Total Full Day Seats (unduplicated) 3s & 4s,Total Half Day Seats (unduplicated)  3s & 4s,Total UPK              (Half and Full Day),Half-Day UPK 3-Yr.-Olds,Half-Day UPK 4-Yr.-Olds,Total Half-Day UPK,Full-Day UPK 3-Yr.-Olds,Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,Total Conversions (other grants),Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,New Full-Day Seats,Total Seats Served by Federal SUFDPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,Total TPK              (Half and Full Day),Half-Day TPK 3-Yr.-Olds,Half-Day TPK 4-Yr.-Olds,Total Half-Day TPK,Full-Day TPK 3-Yr.-Olds,Full-Day TPK 4-Yr.-Olds,Total Full-Day TPK,Students Served in Half Day Slots,Students Served in Full Day Slots,2021-22 PROXY FOR UNSERVED FOUR-YEAR-OLDS,Percentage Served         2021-22
010100,ALBANY        ,ALBANY,Capital District,827 ,827 ,0 ,827 ,0 ,0 ,0 ,278 ,549 ,827 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,549 ,634,87%
010201,BERNE KNOX    ,ALBANY,Capital District,36 ,36 ,0 ,36 ,0 ,0 ,0 ,0 ,36 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,36 ,51,71%
010306,BETHLEHEM     ,ALBANY,Capital District,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,263,0%
010402,RAVENA COEYMAN,ALBANY,Capital District,72 ,0 ,72 ,72 ,0 ,72 ,72 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,72 ,0 ,104,69%
010500,COHOES        ,ALBANY,Capital District,159 ,159 ,0 ,159 ,0 ,0 ,0 ,60 ,99 ,159 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,99 ,123,80%
010601,SOUTH COLONIE ,ALBANY,Capital District,155 ,0 ,155 ,155 ,1 ,154 ,155 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,154 ,0 ,301,51%
010615,MENANDS       ,ALBANY,Capital District,20 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,22,91%
010623,NORTH COLONIE ,ALBANY,Capital District,129 ,129 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75 ,75 ,54 ,0 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,129 ,369,35%
010701,GREEN ISLAND  ,ALBANY,Capital District,21 ,21 ,0 ,21 ,0 ,0 ,0 ,0 ,21 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,14,100%
010802,GUILDERLAND   ,ALBANY,Capital District,112 ,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112 ,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112 ,290,39%
